LFC,VE,VE_norm,LFC_norm
6.2094,0.05749368760025843,0.25407218259618725,0.6004245723203311
7.7029,0.061167606383482294,0.2703988543553978,0.7477523512270574
7.7029,0.061167606383482294,0.2703988543553978,0.7477523512270574
8.6068,0.061167606383482294,0.2703988543553978,0.8369184572557081
5.1753,0.05749368760025843,0.25407218259618725,0.49841475901772275
8.5806,0.13707015927706379,0.6077051857959072,0.8343339324432836
3.9504,0.05749368760025843,0.25407218259618725,0.3775832917376096
9.7903,0.12383108771076261,0.5488715564716289,0.9536659807482496
7.7029,0.08110893743496117,0.3590169174453924,0.7477523512270574
8.5806,0.13707015927706379,0.6077051857959072,0.8343339324432836
