id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
HOXA4	203	0.11638	0.89004	1.0	237	67	-0.087368	0.0069882	0.050481	0.337454	81	59	-0.087368
SOX9	69	0.11698	0.83596	1.0	238	24	0.22962	0.047196	0.24914	0.750045	187	31	0.22962
SOX10	1080	0.11849	0.89161	1.0	239	314	0.31731	0.12029	0.46603	0.881816	283	443	0.31731
CUX2	5	0.12046	0.37569	1.0	240	2	-0.45197	0.50099	0.6458	0.98313	479	2	-0.45197
ZBED4	122	0.12186	0.89408	1.0	241	29	0.84786	8.7586e-05	0.0010956	0.024955	26	69	0.84786
ELF5	118	0.12259	0.89507	1.0	242	34	0.33211	0.048058	0.28757	0.772636	190	56	0.33211
FOXQ1	18	0.12425	0.58852	1.0	243	8	-0.1276	0.8415	0.96612	1.0	566	4	-0.1276
PLAGL2	72	0.1252	0.85694	1.0	244	20	0.22574	0.029275	0.19674	0.703447	155	30	0.22574
SNAI3	92	0.12667	0.89404	1.0	245	33	0.18941	0.10866	0.43355	0.881816	275	40	0.18941
STAT1	75	0.12751	0.86144	1.0	246	23	0.29676	0.037352	0.22093	0.721013	176	31	0.29676
EBF3	30	0.12786	0.69384	1.0	247	12	0.28549	0.057738	0.25911	0.765565	205	13	0.28549
EBF2	30	0.12786	0.69384	1.0	248	12	0.28549	0.057738	0.25911	0.765565	206	13	0.28549
FLI1::FOXI1	16	0.12844	0.57282	1.0	249	4	0.6359	0.06415	0.23096	0.721013	216	8	0.6359
FOXG1	146	0.12893	0.90385	1.0	250	48	-0.027099	0.72676	0.97655	1.0	549	50	-0.027099
SOHLH2	32	0.12993	0.71498	1.0	251	6	0.87311	0.013004	0.089228	0.450595	111	18	0.87311
NR4A1	58	0.13354	0.8224	1.0	252	18	0.23461	0.5092	0.88781	1.0	483	22	0.23461
NR4A2	58	0.13354	0.8224	1.0	253	18	0.23461	0.5092	0.88781	1.0	482	22	0.23461
NFIL3	12	0.13619	0.53056	1.0	254	5	-0.49182	0.67887	0.87801	1.0	541	3	-0.49182
CDX2	47	0.13821	0.81243	1.0	255	13	0.80335	0.01371	0.10929	0.521011	114	24	0.80335
TRPS1	110	0.14033	0.91217	1.0	256	36	0.027888	0.67758	0.96644	1.0	538	25	0.027888
GATA6	110	0.14033	0.91217	1.0	257	36	0.027888	0.67758	0.96644	1.0	536	25	0.027888
GATA3	110	0.14033	0.91217	1.0	258	36	0.027888	0.67758	0.96644	1.0	537	25	0.027888
DUX4	8	0.14115	0.47976	1.0	259	3	0.054113	0.22511	0.45345	0.881816	371	3	0.054113
ARID3B	76	0.14179	0.88177	1.0	260	23	0.039684	0.56953	0.92863	1.0	517	27	0.039684
SOX15	313	0.14265	0.91452	1.0	261	97	0.11402	0.035303	0.24995	0.750045	169	116	0.11402
GATA1	128	0.14334	0.91564	1.0	262	43	-0.043592	0.024766	0.20614	0.703447	145	43	-0.043592
FOXN1	2204	0.1439	0.91579	1.0	263	613	0.49787	2.6163e-07	1.4872e-05	0.001016	9	1001	0.49787
ZNF135	32	0.14486	0.73557	1.0	264	11	-0.027607	0.19126	0.5455	0.901841	350	12	-0.027607
NPAS4	58	0.14875	0.84486	1.0	265	18	0.25847	0.45778	0.86025	1.0	467	22	0.25847
ESRRB	5	0.15032	0.42176	1.0	266	2	0.1456	0.4383	0.60643	0.966148	461	2	0.1456
ZKSCAN1	14	0.15181	0.58154	1.0	267	6	0.089841	0.99222	0.99672	1.0	608	2	0.089841
PATZ1	90	0.15265	0.91121	1.0	268	27	0.43097	0.0012137	0.013806	0.165865	51	39	0.43097
GMEB2	13	0.15622	0.58523	1.0	269	5	-0.30996	0.4464	0.74046	1.0	465	5	-0.30996
SIX4	216	0.15714	0.92965	1.0	270	69	-0.12062	0.8184	0.98963	1.0	563	64	-0.12062
SOX8	304	0.15757	0.92981	1.0	271	97	0.12917	0.5514	0.92581	1.0	508	116	0.12917
ETV5::FIGLA	11	0.15798	0.55837	1.0	272	4	-0.22461	0.91825	0.96755	1.0	587	2	-0.22461
KLF15	478	0.15852	0.92997	1.0	273	121	0.83752	4.5453e-08	4.9574e-06	0.000436	7	248	0.83752
KLF7	478	0.15852	0.92997	1.0	274	121	0.83752	4.5453e-08	4.9574e-06	0.000436	6	248	0.83752
RUNX1	67	0.15878	0.87433	1.0	275	17	0.36637	0.2608	0.68837	1.0	382	27	0.36637
